species,a,b
Chromis punctipinnis,0.01258930005133152,3.0299999713897705
Halichoeres semicinctus,0.00954992976039648,3.0899999141693115
Hypsypops rubicundus,0.019498400390148163,3
Paralabrax clathratus,0.00273,3.27
Embiotoca jacksoni,0.0616,2.8636
Heterodontus francisci,0.006,3.06
Oxyjulis californica,0.005011870060116053,3.1500000953674316
Semicossyphus pulcher,0.0289,3
Anisotremus davidsonii,0.0188,3
Girella nigricans,0.0151,3.36
Paralabrax nebulifer,0.01988,3
Caulolatilus princeps,0.0239,3
Pseudobatos productus,0.029486666666666668,2.8133333333333335
Scorpaenichthys marmoratus,0.02914,3
Phanerodon vacca,0.019054599106311798,2.9700000286102295
Stereolepis gigas,0.02214,3
Sebastes spp,0.015113999932944775,3.0237999742507933
Squatina californica,0.0074130999855697155,3.0399999618530273
Ophiodon elongatus,0.012299999999999998,2.995
Scorpaena mystes,0.013182600028812885,3.0299999713897705
Medialuna californiensis,0.01122019998729229,3.0399999618530273
Mycteroperca xenarcha,0.01838,3
Sebastes carnatus,0.0269,3
Sebastes rastrelliger,0.022,3
Sebastes auriculatus,0.009999999776482582,3.0899999141693115
Sebastes serranoides,0.0108,2.968
Sebastes chrysomelas,0.009999999776482582,3.0899999141693115
Sebastes rufus,0.0151,3
Sebastes atrovirens,0.009999999776482582,3.0899999141693115
Sebastes caurinus,0.01746,3
Sebastes pinniger,0.01379,3
Sebastes flavidus,0.01509,3
Calamus brachysomus,0.398,2.876
Epinephelus analogus,0.01983,3
Alphestes immaculatus,0.01148150023072958,3.0399999618530273
Haemulon californiensis,0.03465825066390192,2.9455941294699697
Sphoeroides annulatus,0.15245999999999998,2.7502
Mycteroperca jordani,0.01873,3
Urobatis concentricus,0.014125400222837925,3.069999933242798
Halichoeres dispilus,0.004897790029644966,3.109999895095825
Sphoeroides lobatus,0.05106666666666667,2.7096666666666667
Anisotremus interruptus,0.0569,2.91
Paralabrax maculatofasciatus,0.02216,2.9386
Mycteroperca spp,0.016983777777777778,3.0373185185185183
Balistes polylepis,0.046566666666666666,2.6903333333333332
Pomacanthus zonipectus,0.03801890090107918,2.880000114440918
Chaetodon humeralis,0.026950000000000002,3.109
Mulloidichthys dentatus,0.010232900269329548,3.0999999046325684
Nicholsina denticulata,0.01122019998729229,3.0899999141693115
Stegastes rectifraenum,0.0181,3.076
Seriola lalandi,0.04149375,2.69585
Diodon holocanthus,0.1421,2.6874000000000002
Sphyraena lucasana,0.007079460192471743,2.9200000762939453
Bodianus diplotaenia,0.012022599577903748,3.049999952316284
Haemulon flaviguttatum,0.103,2.6
Halichoeres nicholsi,0.00954992976039648,3.0899999141693115
Abudefduf troschelii,0.021877599880099297,3.0799999237060547
Mycteroperca rosacea,0.01413,2.985
Serranus psittacinus,0.010964799672365189,3.049999952316284
Girella simplicidens,0.014791100285947323,3.0799999237060547
Haemulon steindachneri,0.0197,3.0613333333333332
Halichoeres notospilus,0.00954992976039648,3.0899999141693115
Holacanthus passer,0.06755,2.851
Urobatis spp,0.014125400222837925,3.069999933242798
Lutjanus argentiventris,0.022504,2.9356999999999998
Lutjanus novemfasciatus,0.026617142857142857,2.8934285714285717
Cephalopholis panamensis,0.0217,3.035
